line_state_id,line,start_time,end_time,process_order
7517FBD4-502F-4E5C-89D4-D249B8BA6426/0,L1A,2022-06-19 00:55:34,2022-06-19 00:58:07,916939548
8E1FDAFC-2C63-4A11-AB8A-FE16D699BB72/0,L1C,2022-06-19 00:55:34,2022-06-19 00:58:08,916939569
7517FBD4-502F-4E5C-89D4-D249B8BA6426/1,L1A,2022-06-19 00:58:07,2022-06-19 00:58:08,916939548
2CB6E71A-7EEB-4B95-B6C8-59961673AE64/0,L1B,2022-06-19 00:58:08,2022-06-19 00:59:07,916939569
5C05D305-4EE1-4642-9DBB-D224BA3D974B/0,L1A,2022-06-19 00:58:08,2022-06-19 01:00:05,916939548
D53AE4BF-697B-48F8-9A93-1CC2E0F0B30D/0,L1C,2022-06-19 00:58:08,2022-06-19 01:00:05,916939569
2CB6E71A-7EEB-4B95-B6C8-59961673AE64/1,L1B,2022-06-19 00:59:07,2022-06-19 01:00:04,916939569
2CB6E71A-7EEB-4B95-B6C8-59961673AE64/2,L1B,2022-06-19 01:00:04,2022-06-19 01:00:05,916939569
234BF04C-5321-4755-9956-14932BCA2EF0/0,L1B,2022-06-19 01:00:05,2022-06-19 01:01:18,916939569
C16E5A77-2F3D-4A3C-93EB-EBF95137F974/0,L1C,2022-06-19 01:00:05,2022-06-19 01:01:19,916939569
F72892AD-4C40-4958-ACC5-E0BE844C9383/0,L1A,2022-06-19 01:00:05,2022-06-19 01:01:18,916939548
382965C7-3105-444A-B904-400BF824C3D1/0,L2B,2022-06-19 01:01:17,2022-06-19 01:02:30,916939573
6B014BCC-6304-4BE9-829D-33B6C2822C7C/0,L2A,2022-06-19 01:01:17,2022-06-19 01:02:31,916939573
234BF04C-5321-4755-9956-14932BCA2EF0/1,L1B,2022-06-19 01:01:18,2022-06-19 01:01:19,916939569
F72892AD-4C40-4958-ACC5-E0BE844C9383/1,L1A,2022-06-19 01:01:18,2022-06-19 01:01:19,916939548
544EB366-EFC7-4FF7-BF8E-A7D1D1328945/0,L1A,2022-06-19 01:01:19,2022-06-19 01:05:43,916939548
675CC0C4-DDBA-474A-8A89-3E55CDC2F892/0,L1C,2022-06-19 01:01:19,2022-06-19 01:05:43,916939569
A0993623-C6AC-44CB-BEEB-AE9F69701BB3/0,L1B,2022-06-19 01:01:19,2022-06-19 01:05:25,916939569
382965C7-3105-444A-B904-400BF824C3D1/1,L2B,2022-06-19 01:02:30,2022-06-19 01:02:31,916939573
48821F52-9854-47F6-A7A4-07F496F39613/0,L2A,2022-06-19 01:02:31,2022-06-19 01:04:00,916939573
D6F262F0-84EC-42C0-B27A-27425B642A46/0,L2B,2022-06-19 01:02:31,2022-06-19 01:04:00,916939573
29CD7D52-6D10-41EE-8531-F416ACB57452/0,L2B,2022-06-19 01:04:00,2022-06-19 01:04:38,916939573
B8630DB2-50ED-436B-B00E-96801B075938/0,L2A,2022-06-19 01:04:00,2022-06-19 01:04:42,916939573
29CD7D52-6D10-41EE-8531-F416ACB57452/1,L2B,2022-06-19 01:04:38,2022-06-19 01:04:41,916939573
29CD7D52-6D10-41EE-8531-F416ACB57452/2,L2B,2022-06-19 01:04:41,2022-06-19 01:04:42,916939573
